hip,ra,dec,mag
1,0.00091185,1.08901332,9.1
2,0.00379737,-19.49883745,9.27
3,0.00500795,38.85928608,6.61
4,0.0083817,-51.89354612,8.06
5,0.00996534,-40.5912244,8.55
6,0.01814144,3.94648893,12.31
7,0.02254891,20.03660216,9.64
8,0.0272916,25.88647445,9.05
9,0.03534189,36.58593777,8.59
10,0.03625309,-50.8670736,8.59
11,0.03729695,46.94000154,7.34
12,0.04091756,-35.96022482,8.43
13,0.0416797,-22.5946806,8.8
14,0.04827189,-0.36042119,7.25
15,0.0503089,50.79117384,8.6
17,0.05109957,-40.19232842,8.15
16,0.05140852,-54.91412819,11.71
18,0.05313923,-4.05373813,11.03
19,0.05331696,38.30408636,6.53
20,0.0629505,23.52928397,8.51
21,0.06623569,8.00723437,7.55
22,0.07013593,-49.35226686,8.69
23,0.0744293,13.31221083,7.57
24,0.07604979,-23.45274913,9.05
25,0.07936537,-44.29029741,6.28
26,0.08434579,-13.39329686,9.13
27,0.08546976,-41.29753696,9.32
28,0.08724871,-43.36179962,8.83
29,0.09213106,-49.10795505,9.14
30,0.09613563,42.14149882,8.26
31,0.0980939,2.67547768,7.63
32,0.09858375,51.9394905,9.09
33,0.09918083,-10.46245445,8.1
34,0.09946973,26.91823821,6.43
35,0.10256052,-14.49048072,9.07
36,0.1032755,12.26709303,7.68
37,0.1053519,-47.17958382,10.44
38,0.11104694,-79.06183133,8.65
39,0.11186148,-16.6969302,7.46
41,0.11656351,54.30223774,8.7
40,0.12196971,67.21679125,10.61
42,0.12538666,25.84478059,8.2
43,0.129089,59.55973786,6.18
44,0.1327223,-3.30636174,7.91
45,0.13420453,-72.20271031,9.59
46,0.13454429,-25.62225277,8.57
47,0.13519236,-56.83524773,10.78
48,0.13522264,-40.69044664,7.31
49,0.13950066,16.66903183,9.53
50,0.14287059,-53.09766277,6.49
51,0.14339044,1.06619726,8.94
52,0.14665879,-77.0201405,8.56
53,0.14739023,-29.26338247,10.96
54,0.15165558,17.96895579,10.57
55,0.15783323,-66.68310336,7.4
56,0.16283175,0.22293899,8.12
57,0.16828557,-69.67580068,8.27
58,0.17376341,62.17600484,7.05
59,0.17444749,55.72246267,9.09
60,0.17542318,-64.46582516,8.34
61,0.17615726,53.82218625,8.86
62,0.17996123,-45.42272731,8.27
63,0.1817495,45.25333305,6.36
64,0.18458893,-27.90754614,8.08
65,0.18797532,-54.83034057,11.0
66,0.18854917,-72.31824913,8.55
67,0.19910132,23.53824873,7.83
68,0.20063628,16.98896499,8.79
69,0.20137175,30.39589283,8.33
70,0.20280014,36.77763945,10.42
71,0.20709981,36.78015328,8.26
72,0.21946989,-12.82867015,8.97
73,0.22045719,66.84796687,6.9
74,0.22187281,35.75272213,9.93
75,0.22316216,-50.446465,7.42
76,0.22821959,32.82567452,9.03
77,0.23052169,-30.06417333,8.41
78,0.23231307,17.86784193,8.06
79,0.23572286,35.31675386,8.69
80,0.24179216,-11.82353722,8.4
81,0.24386443,-4.93211471,8.57
